available_dl_prbs,available_ul_prbs,ue_id,dl_bytes,ul_bytes,dl_prbs,ul_prbs,tx_pkts,tx_errors,rx_pkts,rx_errors,rx_brate,dl_cqi,dl_ri,dl_pmi,ul_phr,ul_sinr,ul_mcs,ul_samples,dl_mcs,dl_samples,ue_id2,dl_bytes2,ul_bytes2,dl_prbs2,ul_prbs2,tx_pkts2,tx_errors2,rx_pkts2,rx_errors2,rx_brate2,dl_cqi2,dl_ri2,dl_pmi2,ul_phr2,ul_sinr2,ul_mcs2,ul_samples2,dl_mcs2,dl_samples2
100,100,76,6663314,40560,74860,965,23,0,3,0,12408,13,0,0,40,40.1832,22,6,27.7333,45,83,19853956,259584,213224,5182,51,0,9,0,60712,15,0,0,40,37.5765,22.4211,19,27.8182,99
100,100,76,6663314,40820,73468,957,35,0,5,0,16296,13,0,0,40,40.5097,22.2143,14,27.7625,80,83,19989942,263952,213956,5365,96,0,20,0,130232,15,0,0,40,37.8556,22.4706,34,27.8731,197
100,100,76,6537842,40848,73528,941,49,0,9,0,30616,13,0,0,40,41.0358,21.6667,18,27.6768,99,83,19853956,256984,214048,5140,153,0,26,0,178488,15,0,0,40,37.6872,22.4348,46,27.8444,302
100,100,76,6672326,40200,74772,1048,99,1,22,0,60976,13,0,0,40,40.3333,21.3333,45,27.7526,194,83,19853956,262600,213376,5328,261,1,53,0,295136,15,0,0,40,37.3484,21.6917,133,27.8425,527
100,100,76,6663314,39780,73120,1033,127,0,25,0,74344,13,0,0,40,40.5609,21.6078,51,27.8056,252,83,19853956,255892,213892,5076,362,0,71,0,384456,15,0,0,40,38.5834,22.0764,144,27.8611,727
100,100,76,6536340,40864,73228,1045,10,0,2,0,8272,13,0,0,40,0,0,3,27.6,15,83,19853956,242996,214284,5008,38,0,7,0,39624,15,0,0,40,0,0,12,27.8429,70
100,100,76,6663314,40248,73440,1016,32,0,6,0,20000,13,0,0,40,40.2903,21.625,8,27.8413,63,83,19989942,251420,214120,5172,78,0,15,0,91560,15,0,0,40,39.5138,22.4231,26,27.9128,172
100,100,76,6673828,91432,73840,2086,49,1,12,0,70848,13,0,0,40,39.298,22.375,32,27.7273,99,83,19853956,272636,213568,5580,138,0,24,0,166584,15,0,0,40,39.161,22.537,54,27.8448,277
100,100,76,6665902,98564,78416,2163,71,0,17,0,105520,13,0,0,40,40.3501,22.2727,33,27.7574,136,83,19989136,269828,213988,5488,189,0,35,0,224408,15,0,0,40,39.915,22.2319,69,27.8921,380
100,100,76,6672326,99272,73380,2197,10,0,4,0,23232,13,0,0,40,0,0,8,27.6667,15,83,19853956,283556,213976,5673,22,0,3,0,25496,15,0,0,40,39.3952,22.6667,9,27.75,36
100,100,76,6663314,94224,73560,2184,32,0,5,0,28136,13,0,0,40,0,0,8,27.7656,64,83,19989136,275184,214016,5640,61,0,14,0,82696,15,0,0,40,40.083,21.8621,29,27.9091,132
100,100,76,6663314,93236,73764,2107,39,0,6,0,40992,13,0,0,40,0,0,8,27.8571,84,83,19854762,246532,213828,5015,113,0,24,0,152688,15,0,0,40,39.422,22.4717,53,27.9068,236
100,100,76,6663314,94328,73064,2139,56,0,15,0,86824,13,0,0,40,39.1286,22.0294,34,27.7699,113,83,19989942,262548,213696,5285,171,0,38,0,225472,15,0,0,40,39.7883,22.4286,70,27.882,339
100,100,76,6650492,92804,73288,2082,151,0,38,0,172272,13,0,0,40,39.9476,21.2805,82,27.1396,308,83,19854762,263588,214236,5319,441,0,85,0,554336,15,0,0,40,39.2512,22.0556,144,27.8429,891
100,100,76,6691156,93808,73208,2184,16,0,3,0,20248,13,0,0,40,39.1444,22.3333,9,27.7742,31,83,19989136,256724,214336,5265,46,0,9,0,64560,15,0,0,40,40.4192,22.0526,19,27.8085,94
100,100,76,6527328,93756,73392,2139,33,0,8,0,41792,13,0,0,40,0,0,16,27.8636,66,83,19854762,265512,215016,5427,102,0,28,0,132632,15,0,0,40,40.1198,19.9828,58,27.8571,210
100,100,76,6663314,95264,73764,2246,56,0,15,0,91528,13,0,0,40,39.9146,22.2222,27,27.781,105,83,19989136,268424,213244,5517,155,0,32,0,191864,15,0,0,40,39.8558,22.0769,52,27.873,307
100,100,76,6663314,96460,73244,2186,80,0,28,0,115712,13,0,0,40,39.7346,19.5082,61,27.805,159,83,19854762,275392,214680,5580,205,0,40,0,251248,15,0,0,40,39.5529,22.1176,85,27.8857,420
100,100,76,6663314,86736,73592,1980,92,0,20,0,116504,13,0,0,40,40.3315,22.5455,33,27.768,194,83,19853956,269932,213424,5495,255,0,55,0,308968,15,0,0,40,40.024,20.9915,117,27.8974,507
100,100,76,6663314,40196,72384,1021,108,2,21,0,67432,13,0,0,40,39.4105,21.6047,43,27.7746,213,83,19989942,266240,214136,5430,310,0,54,0,372040,15,0,0,40,39.364,22.2174,115,27.8812,623
100,100,76,6663314,73528,73984,1805,144,0,34,0,91368,13,0,0,40,39.9722,19.1884,69,27.814,285,83,19989942,275704,214668,5635,415,0,77,0,522728,15,0,0,40,39.4953,22.125,176,27.897,835
100,100,76,6668626,78408,74936,1861,16,0,4,0,17824,13,0,0,40,0,0,6,27.625,32,83,19853956,270660,213220,5424,31,0,8,0,48024,15,0,0,40,39.6115,22.125,16,27.8833,60
100,100,76,6663314,96928,73584,2197,32,0,7,0,33128,13,0,0,40,39.4378,22,21,27.8571,63,83,19989942,271284,214712,5532,82,0,16,0,112296,15,0,0,40,39.4403,22.3939,33,27.9148,176
100,100,76,6663314,96200,73876,2250,50,0,12,0,72656,13,0,0,40,39.9165,22.5,22,27.7549,102,83,19853956,281268,213460,5706,140,1,26,0,189000,15,0,0,40,39.6948,22.0909,44,27.8221,281
100,100,76,6663314,97240,72696,2185,66,0,15,0,85392,13,0,0,40,40.1302,22.0294,34,27.8188,138,83,19989942,283400,214124,5779,186,0,35,0,242768,15,0,0,40,39.7153,22.2432,74,27.8609,381
100,100,76,5435630,79472,65616,1781,4,4,0,0,0,0,0,0,0,0,0,0,26,7,83,19853956,282932,213840,5629,240,0,41,0,289400,15,0,0,40,39.2546,22.2169,83,27.89,482
100,100,76,6663314,91832,73452,2077,8,0,0,0,0,13,0,0,0,0,0,0,27.8846,26,83,19854762,251576,213584,5177,11,0,4,0,20336,15,0,0,40,0,0,6,27.8621,29
100,100,76,6663314,94640,72508,2241,16,0,7,0,22392,13,0,0,40,0,0,9,27.7105,38,83,19989942,235144,213932,4757,62,0,14,0,73392,15,0,0,40,39.8348,22.129,31,27.8963,135
100,100,76,6527328,93288,73072,2137,42,0,10,0,64160,13,0,0,40,38.6415,22.6667,21,27.28,75,83,19853956,252824,214076,5241,126,0,26,0,159392,15,0,0,40,40.2191,21.7451,51,27.856,243
100,100,76,6663314,92144,73584,2107,69,4,16,0,76496,13,0,0,40,39.0208,22.0714,28,27.7681,138,83,19989136,276068,214112,5584,167,0,36,0,225984,15,0,0,40,39.9095,21.6974,76,27.8931,346
100,100,76,6663314,94016,73256,2189,101,0,23,0,125256,13,0,0,40,39.7927,22.3243,37,27.8135,193,83,19989136,278096,213904,5669,276,0,61,0,322608,15,0,0,40,39.6526,22.1368,117,27.8519,567
100,100,76,6663314,91260,73456,2135,117,0,34,0,163808,13,0,0,40,40.3021,19.6974,76,27.8292,240,83,19854762,273676,214060,5608,329,1,56,0,416752,15,0,0,40,39.2404,22.3846,91,27.8561,667
100,100,76,6663314,93236,72704,2181,126,0,28,0,153712,13,0,0,40,39.8725,21.98,50,27.8171,257,83,19989136,272636,214248,5614,381,0,78,0,444192,15,0,0,40,39.8173,22.2721,147,27.8383,767
100,100,76,6663314,95836,74044,2205,16,0,4,0,19888,13,0,0,40,0,0,8,27.697,33,83,19989136,274716,214144,5646,45,0,8,0,55696,15,0,0,40,39.9018,22.2609,23,27.8788,99
100,100,76,6663314,91364,73892,2083,64,0,11,0,63456,13,0,0,40,39.9832,22.1429,21,27.8425,127,83,19989136,272532,213728,5546,152,0,27,0,162200,15,0,0,40,39.7788,21.6429,56,27.8376,314
